dateTime,level,seconds
02:02:00.000,wake,960
02:18:00.000,light,150
02:20:30.000,deep,1710
02:49:00.000,light,1110
03:07:30.000,rem,270
03:12:00.000,wake,240
03:16:00.000,light,1200
03:36:00.000,wake,210
03:39:30.000,light,1170
03:59:00.000,wake,330
04:04:30.000,light,840
04:18:30.000,rem,330
04:24:00.000,light,240
04:28:00.000,deep,1140
04:47:00.000,wake,300
04:52:00.000,light,4020
05:59:00.000,rem,1020
06:16:00.000,light,330
06:21:30.000,wake,270
06:26:00.000,light,300
06:31:00.000,rem,4050
07:38:30.000,light,690
07:50:00.000,deep,1680
08:18:00.000,light,3270
09:12:30.000,rem,3960
10:18:30.000,light,690
