dateTime,level,seconds
01:54:30.000,wake,510
02:03:00.000,light,2220
02:40:00.000,deep,480
02:48:00.000,wake,450
02:55:30.000,light,300
03:00:30.000,wake,480
03:08:30.000,light,150
03:11:00.000,wake,240
03:15:00.000,light,1350
03:37:30.000,rem,840
03:51:30.000,light,480
03:59:30.000,deep,2040
04:33:30.000,wake,330
04:39:00.000,light,1950
05:11:30.000,rem,270
05:16:00.000,light,1440
05:40:00.000,rem,750
05:52:30.000,light,1770
06:22:00.000,deep,900
06:37:00.000,light,1260
06:58:00.000,rem,1170
07:17:30.000,light,660
07:28:30.000,wake,450
07:36:00.000,light,150
