dateTime,level,seconds
00:54:30.000,wake,30
00:55:00.000,light,1080
01:13:00.000,deep,1860
01:44:00.000,wake,360
01:50:00.000,light,510
01:58:30.000,deep,450
02:06:00.000,light,960
02:22:00.000,wake,240
02:26:00.000,light,2100
03:01:00.000,rem,1110
03:19:30.000,light,870
03:34:00.000,deep,450
03:41:30.000,wake,240
03:45:30.000,light,810
03:59:00.000,wake,330
04:04:30.000,light,450
04:12:00.000,wake,360
04:18:00.000,light,330
04:23:30.000,deep,420
04:30:30.000,light,870
04:45:00.000,deep,450
04:52:30.000,light,1800
05:22:30.000,rem,3810
06:26:00.000,light,2520
07:08:00.000,rem,1230
