dateTime,level,seconds
02:31:00.000,light,180
02:34:00.000,wake,450
02:41:30.000,light,1170
03:01:00.000,wake,480
03:09:00.000,light,210
03:12:30.000,deep,300
03:17:30.000,light,390
03:24:00.000,deep,360
03:30:00.000,light,1710
03:58:30.000,wake,270
04:03:00.000,light,1980
04:36:00.000,deep,300
04:41:00.000,light,60
04:42:00.000,wake,600
04:52:00.000,light,600
05:02:00.000,wake,330
05:07:30.000,light,180
05:10:30.000,wake,480
05:18:30.000,light,300
05:23:30.000,rem,1890
05:55:00.000,light,1680
06:23:00.000,deep,2820
07:10:00.000,light,1050
07:27:30.000,rem,3420
08:24:30.000,light,5310
09:53:00.000,rem,2670
10:37:30.000,light,1380
