dateTime,level,seconds
02:53:30.000,light,930
03:09:00.000,deep,1200
03:29:00.000,light,510
03:37:30.000,wake,390
03:44:00.000,light,60
03:45:00.000,deep,300
03:50:00.000,wake,540
03:59:00.000,light,420
04:06:00.000,rem,840
04:20:00.000,light,630
04:30:30.000,deep,900
04:45:30.000,light,1230
05:06:00.000,wake,360
05:12:00.000,light,150
05:14:30.000,deep,1140
05:33:30.000,light,600
05:43:30.000,wake,210
05:47:00.000,light,300
05:52:00.000,rem,1920
06:24:00.000,light,540
06:33:00.000,deep,870
06:47:30.000,light,3150
07:40:00.000,rem,1140
07:59:00.000,wake,540
08:08:00.000,light,2640
08:52:00.000,rem,2880
09:40:00.000,light,450
09:47:30.000,rem,1530
10:13:00.000,light,3120
