dateTime,level,seconds
01:51:30.000,wake,630
02:02:00.000,light,300
02:07:00.000,wake,480
02:15:00.000,light,1380
02:38:00.000,deep,1530
03:03:30.000,light,120
03:05:30.000,wake,660
03:16:30.000,rem,330
03:22:00.000,light,660
03:33:00.000,deep,1290
03:54:30.000,wake,660
04:05:30.000,light,630
04:16:00.000,deep,1620
04:43:00.000,light,450
04:50:30.000,rem,1020
05:07:30.000,light,3810
06:11:00.000,wake,270
06:15:30.000,light,300
06:20:30.000,rem,1680
06:48:30.000,light,150
06:51:00.000,wake,480
06:59:00.000,light,1230
07:19:30.000,deep,270
07:24:00.000,light,1740
07:53:00.000,deep,570
08:02:30.000,light,1380
08:25:30.000,rem,330
08:31:00.000,light,420
08:38:00.000,rem,270
08:42:30.000,light,3030
09:33:00.000,rem,2880
10:21:00.000,light,1350
