dateTime,level,seconds
01:43:00.000,wake,30
01:43:30.000,light,2160
02:19:30.000,deep,270
02:24:00.000,wake,660
02:35:00.000,light,180
02:38:00.000,wake,360
02:44:00.000,light,540
02:53:00.000,wake,330
02:58:30.000,light,1170
03:18:00.000,wake,270
03:22:30.000,rem,1710
03:51:00.000,light,150
03:53:30.000,deep,840
04:07:30.000,wake,330
04:13:00.000,light,900
04:28:00.000,deep,1020
04:45:00.000,light,90
04:46:30.000,wake,330
04:52:00.000,light,240
04:56:00.000,rem,3120
05:48:00.000,light,540
05:57:00.000,deep,510
06:05:30.000,light,1620
06:32:30.000,deep,1350
06:55:00.000,light,870
07:09:30.000,wake,270
07:14:00.000,light,2130
07:49:30.000,rem,1260
08:10:30.000,light,2940
08:59:30.000,wake,390
09:06:00.000,light,630
